beta1,beta2,x_tmax,front_chord,front_camber,mach_in,loss,pressure_rise,converged
48.28002437764836,0.5544777205960196,0.4000427871389446,0.3931743772734649,0.36490992281242085,0.8,0.041444,1.327206,True
48.28002437764836,0.5544777205960196,0.4000427871389446,0.3931743772734649,0.36490992281242085,0.825,0.039257,1.357363,True
49.26362920197577,-0.7758535299776972,0.5620712269759838,0.3988354476773458,0.5637113171602345,0.8,0.041399,1.33896,True
49.26362920197577,-0.7758535299776972,0.5620712269759838,0.3988354476773458,0.5637113171602345,0.825,0.042912,1.367161,True
48.28002437764836,0.5544777205960196,0.4000427871389446,0.3931743772734649,0.36490992281242085,0.85,0.038636,1.388346,True
48.54777276127822,0.7168908304259687,0.4037872365487791,0.6166344737656015,0.3418736671201756,0.8,0.065633,1.299373,True
49.26362920197577,-0.7758535299776972,0.5620712269759838,0.3988354476773458,0.5637113171602345,0.85,0.049258,1.393605,True
49.73724191225992,0.2352909480637404,0.319205860395121,0.42122137577573554,0.4886443233005852,0.8,0.036223,1.344111,True
48.54777276127822,0.7168908304259687,0.4037872365487791,0.6166344737656015,0.3418736671201756,0.825,0.072308,1.320676,True
49.73724191225992,0.2352909480637404,0.319205860395121,0.42122137577573554,0.4886443233005852,0.825,0.034978,1.374473,True
48.32780536129215,0.3030665579925458,0.4485912392468425,0.49476914210158646,0.3382633902093515,0.8,0.055982,1.314118,True
49.73724191225992,0.2352909480637404,0.319205860395121,0.42122137577573554,0.4886443233005852,0.85,0.034587,1.406242,True
48.32780536129215,0.3030665579925458,0.4485912392468425,0.49476914210158646,0.3382633902093515,0.825,0.058041,1.339988,True
48.32780536129215,0.3030665579925458,0.4485912392468425,0.49476914210158646,0.3382633902093515,0.85,0.059299,1.36798,True
49.25225523784409,0.030064980535131625,0.31773483492837234,0.632525908058793,0.4081060888377448,0.8,0.050509,1.320544,True
49.25225523784409,0.030064980535131625,0.31773483492837234,0.632525908058793,0.4081060888377448,0.825,0.053345,1.3458,True
49.25225523784409,0.030064980535131625,0.31773483492837234,0.632525908058793,0.4081060888377448,0.85,0.05706,1.371547,True
49.367810528640916,0.02974015698932897,0.4289048590147548,0.46155461813018983,0.5914660372010635,0.8,0.037333,1.34164,True
48.81156284808113,-1.2116653563921158,0.34545994697959953,0.5887375266717236,0.4302335480397209,0.8,0.046638,1.325716,True
48.81156284808113,-1.2116653563921158,0.34545994697959953,0.5887375266717236,0.4302335480397209,0.825,0.048374,1.352594,True
48.81156284808113,-1.2116653563921158,0.34545994697959953,0.5887375266717236,0.4302335480397209,0.85,0.050105,1.381115,True
49.367810528640916,0.02974015698932897,0.4289048590147548,0.46155461813018983,0.5914660372010635,0.825,0.037181,1.371088,True
49.361195235642505,0.31122504324193967,0.49334233437921393,0.41726350089920494,0.5109720495032781,0.8,0.037656,1.340557,True
49.79080009179752,-0.848014724539502,0.39524261512449954,0.5738670298286817,0.3832589669242747,0.8,0.054953,1.325768,True
49.79080009179752,-0.848014724539502,0.39524261512449954,0.5738670298286817,0.3832589669242747,0.825,0.057195,1.352117,True
49.361195235642505,0.31122504324193967,0.49334233437921393,0.41726350089920494,0.5109720495032781,0.825,0.037468,1.36995,True
49.79080009179752,-0.848014724539502,0.39524261512449954,0.5738670298286817,0.3832589669242747,0.85,0.058641,1.380636,True
49.39921927096898,0.05908216844892333,0.4080862517608094,0.5203720406003745,0.4591770939852928,0.8,0.044979,1.333124,True
49.39921927096898,0.05908216844892333,0.4080862517608094,0.5203720406003745,0.4591770939852928,0.825,0.042265,1.363846,True
49.39921927096898,0.05908216844892333,0.4080862517608094,0.5203720406003745,0.4591770939852928,0.85,0.041579,1.395121,True
49.80033159703821,1.1190578075877138,0.6208869527787038,0.6826470002285168,0.3606730563359999,0.8,0.06908,1.300943,True
48.25044642059934,-1.3931184143214908,0.5467392099803874,0.5973938364330864,0.6173126565221535,0.8,0.038984,1.331587,True
49.80033159703821,1.1190578075877138,0.6208869527787038,0.6826470002285168,0.3606730563359999,0.825,0.072981,1.323627,True
48.25044642059934,-1.3931184143214908,0.5467392099803874,0.5973938364330864,0.6173126565221535,0.825,0.038198,1.360906,True
48.25044642059934,-1.3931184143214908,0.5467392099803874,0.5973938364330864,0.6173126565221535,0.85,0.038737,1.391192,True
48.62178541532718,0.6331829427125508,0.6880293193853464,0.4293532121028269,0.5237883394516621,0.8,0.039263,1.333291,True
48.417718616107976,-1.5205871875155332,0.3326676166970546,0.6726885935695317,0.6690432203581786,0.8,0.038731,1.33282,True
48.62178541532718,0.6331829427125508,0.6880293193853464,0.4293532121028269,0.5237883394516621,0.825,0.039545,1.361965,True
48.62178541532718,0.6331829427125508,0.6880293193853464,0.4293532121028269,0.5237883394516621,0.85,0.041487,1.391337,True
48.417718616107976,-1.5205871875155332,0.3326676166970546,0.6726885935695317,0.6690432203581786,0.825,0.036663,1.363261,True
48.417718616107976,-1.5205871875155332,0.3326676166970546,0.6726885935695317,0.6690432203581786,0.85,0.037412,1.393571,True
48.26833568645967,-1.8828127737228801,0.5952371959230668,0.44236660541601847,0.6319954575853732,0.8,0.041143,1.33244,True
49.66290995213922,-0.3634447187011929,0.5425076245539497,0.5741677456441933,0.5380997910449793,0.8,0.042856,1.337401,True
48.26833568645967,-1.8828127737228801,0.5952371959230668,0.44236660541601847,0.6319954575853732,0.825,0.042807,1.360215,True
48.26833568645967,-1.8828127737228801,0.5952371959230668,0.44236660541601847,0.6319954575853732,0.85,0.048926,1.386543,True
48.46584768789729,1.0246073592498446,0.30991076874488516,0.6757237957547807,0.4671396975821704,0.8,0.045053,1.31726,True
49.66290995213922,-0.3634447187011929,0.5425076245539497,0.5741677456441933,0.5380997910449793,0.825,0.041782,1.367217,True
49.66290995213922,-0.3634447187011929,0.5425076245539497,0.5741677456441933,0.5380997910449793,0.85,0.041742,1.398188,True
48.46584768789729,1.0246073592498446,0.30991076874488516,0.6757237957547807,0.4671396975821704,0.825,0.047409,1.342734,True
48.46584768789729,1.0246073592498446,0.30991076874488516,0.6757237957547807,0.4671396975821704,0.85,0.050957,1.368537,True
48.94809141930929,-0.47939941426762145,0.42954682600770805,0.6850061647245304,0.4244442498192068,0.8,0.053989,1.313529,True
48.94809141930929,-0.47939941426762145,0.42954682600770805,0.6850061647245304,0.4244442498192068,0.825,0.056961,1.338264,True
48.94809141930929,-0.47939941426762145,0.42954682600770805,0.6850061647245304,0.4244442498192068,0.85,0.05996,1.364207,True
49.73436971740688,-1.4027236252211068,0.49498247001613677,0.5955763988195759,0.66940762046709,0.8,0.040587,1.342658,True
49.56028310981084,-1.0108987230042876,0.6075455516876309,0.40358072180756926,0.6382194795206911,0.8,0.048698,1.337323,True
48.061544223710165,-1.9624047267295905,0.31653880867516987,0.5574841560862116,0.5193646454434121,0.8,0.038319,1.330067,True
48.061544223710165,-1.9624047267295905,0.31653880867516987,0.5574841560862116,0.5193646454434121,0.825,0.038287,1.35883,True
48.061544223710165,-1.9624047267295905,0.31653880867516987,0.5574841560862116,0.5193646454434121,0.85,0.039847,1.388291,True
